state,abbr,wiki,info
Alabama,AL,Alabama,"Alabama () is a state in the southeastern region of the United States. It is bordered by Tennessee to the north, Georgia to the east, Florida and the Gulf of Mexico to the south, and Mississippi to the west. Alabama is the 30th largest by area and the 24th-most populous of the U.S. states. With a total of 1,500 miles (2,400 km) of inland waterways, Alabama has among the most of any state.Alabama is nicknamed the Yellowhammer State, after the state bird. Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"". The state tree is the longleaf pine, and the state flower is the camellia. Alabama's capital is Montgomery. The largest city by population is Birmingham, which has long been the most industrialized city; the largest city by land area is Huntsville. The oldest city is Mobile, founded by French colonists in 1702 as the capital of French Louisiana.From the American Civil War until World War II, Alabama, like many states in the southern U.S., suffered economic hardship, in part because of its continued dependence on agriculture. Similar to other former slave states, Alabamian legislators employed Jim Crow laws to disenfranchise and otherwise discriminate against African Americans from the end of the Reconstruction Era up until at least the 1970s."
Alaska,AK,Alaska,"Alaska ( (listen); Aleut: Alax̂sxax̂; Inupiaq: Alaasikaq; Alutiiq: Alas'kaaq; Tlingit: Anáaski; Russian: Аляска, translit. Alyaska) is a U.S. state in the northwest extremity of the United States West Coast, just across the Bering Strait from Asia. The Canadian province of British Columbia and territory of Yukon border the state to the east and southeast. Its most extreme western part is Attu Island, and it has a maritime border with Russia (Chukotka Autonomous Okrug) to the west across the Bering Strait. To the north are the Chukchi and Beaufort seas—southern parts of the Arctic Ocean. The Pacific Ocean lies to the south and southwest. It is the largest U.S. state by area and the seventh largest subnational division in the world. In addition, it is the 3rd least populous and the most sparsely populated of the 50 United States; nevertheless, it is by far the most populous territory located mostly north of the 60th parallel in North America: its population—estimated at 738,432 by the United States Census Bureau in 2015— is more than quadruple the combined populations of Northern Canada and Greenland. Approximately half of Alaska's residents live within the Anchorage metropolitan area. Alaska's economy is dominated by the fishing, natural gas, and oil industries, resources which it has in abundance."
Arizona,AZ,Arizona,"Arizona ( (listen); Navajo: Hoozdo Hahoodzo Navajo pronunciation: [xòːztò xɑ̀xòːtsò]; O'odham: Alĭ ṣonak Uto-Aztecan pronunciation: [ˡaɺi ˡʂonak]) is a state in the southwestern region of the United States. It is also part of the Western and the Mountain states. It is the sixth largest and the 14th most populous of the 50 states. Its capital and largest city is Phoenix. Arizona shares the Four Corners region with Utah, Colorado, and New Mexico; its other neighboring states are Nevada and California to the west and the Mexican states of Sonora and Baja California to the south and southwest. Arizona is the 48th state and last of the contiguous states to be admitted to the Union, achieving statehood on February 14, 1912, coinciding with Valentine's Day. Historically part of the territory of Alta California in New Spain, it became part of independent Mexico in 1821. After being defeated in the Mexican–American War, Mexico ceded much of this territory to the United States in 1848. The southernmost portion of the state was acquired in 1853 through the Gadsden Purchase. Southern Arizona is known for its desert climate, with very hot summers and mild winters."
Arkansas,AR,Arkansas,"Arkansas ( AR-kən-saw) is a state in the southern region of the United States, home to over 3 million people as of 2018. Its name is of Siouan derivation from the language of the Osage denoting their related kin, the Quapaw Indians. The state's diverse geography ranges from the mountainous regions of the Ozark and the Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south known as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.
Arkansas is the 29th largest by area and the 33rd most populous of the 50 United States. The capital and most populous city is Little Rock, located in the central portion of the state, a hub for transportation, business, culture, and government. The northwestern corner of the state, such as the Fayetteville–Springdale–Rogers Metropolitan Area and Fort Smith metropolitan area, is a population, education, and economic center. The largest city in the state's eastern part is Jonesboro. The largest city in the state's southeastern part is Pine Bluff. The Territory of Arkansas was admitted to the Union as the 25th state on June 15, 1836. In 1861, Arkansas withdrew from the United States and joined the Confederate States of America during the Civil War."
California,CA,California,"California is a state in the Pacific Region of the United States. With 39.6 million residents, California is the most populous U.S. state and the third-largest by area. The state capital is Sacramento. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and fifth-most populous urban regions, with 18.7 million and 9.7 million residents respectively. Los Angeles is California's most populous city, and the country's second-most populous, after New York City. California also has the nation's most populous county, Los Angeles County, and its largest county by area, San Bernardino County. The City and County of San Francisco is both the country's second-most densely populated major city after New York City and the fifth-most densely populated county, behind only four of the five New York City boroughs. California's $3.0 trillion economy is larger than that of any other state, larger than those of Texas and Florida combined, and the largest sub-national economy in the world. If it were a country, California would be the fifth-largest economy in the world (larger than the United Kingdom, France, or India), and the 36th-most populous as of 2017. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and third-largest urban economies ($1.253 trillion and $907 billion respectively as of 2017), after the New York metropolitan area."
Colorado,CO,Colorado,"Colorado ( (listen), other variants) is a state of the Western United States encompassing most of the southern Rocky Mountains as well as the northeastern portion of the Colorado Plateau and the western edge of the Great Plains. It is the 8th most extensive and 21st most populous U.S. state. The estimated population of Colorado was 5,695,564 on July 1, 2018, an increase of 13.25% since the 2010 United States Census.The state was named for the Colorado River, which early Spanish explorers named the Río Colorado for the ruddy silt the river carried from the mountains. The Territory of Colorado was organized on February 28, 1861, and on August 1, 1876, U.S. President Ulysses S. Grant signed Proclamation 230 admitting Colorado to the Union as the 38th state. Colorado is nicknamed the ""Centennial State"" because it became a state one century after the signing of the United States Declaration of Independence. Colorado is bordered by Wyoming to the north, Nebraska to the northeast, Kansas to the east, Oklahoma to the southeast, New Mexico to the south, Utah to the west, and touches Arizona to the southwest at the Four Corners. Colorado is noted for its vivid landscape of mountains, forests, high plains, mesas, canyons, plateaus, rivers and desert lands. Colorado is part of the western and southwestern United States, and is one of the Mountain States. Denver is the capital and most populous city of Colorado.  Residents of the state are known as Coloradans, although the antiquated term ""Coloradoan"" is occasionally used."
Connecticut,CT,Connecticut,"Connecticut ( (listen)) is the southernmost state in the New England region of the United States. As of the 2010 Census, it has the highest per-capita income, Human Development Index (0.962), and median household income in the United States. It is bordered by Rhode Island to the east, Massachusetts to the north, New York to the west, and Long Island Sound to the south. Its capital is Hartford and its most populous city is Bridgeport. It is part of New England, although portions of it are often grouped with New York and New Jersey as the Tri-state area. The state is named for the Connecticut River which approximately bisects the state. The word ""Connecticut"" is derived from various anglicized spellings of an Algonquian word for ""long tidal river"".Connecticut's first European settlers were Dutchmen who established a small, short-lived settlement called Fort Hoop in Hartford at the confluence of the Park and Connecticut Rivers. Half of Connecticut was initially part of the Dutch colony New Netherland, which included much of the land between the Connecticut and Delaware Rivers, although the first major settlements were established in the 1630s by the English. Thomas Hooker led a band of followers from the Massachusetts Bay Colony and founded the Connecticut Colony; other settlers from Massachusetts founded the Saybrook Colony and the New Haven Colony. The Connecticut and New Haven colonies established documents of Fundamental Orders, considered the first constitutions in America."
Delaware,DE,Delaware,"Delaware ( (listen)) is one of the 50 states of the United States, in the South-Atlantic or Southern region. It is bordered to the south and west by Maryland, north by Pennsylvania, and east by New Jersey and the Atlantic Ocean. The state takes its name from Thomas West, 3rd Baron De La Warr, an English nobleman and Virginia's first colonial governor.Delaware occupies the northeastern portion of the Delmarva Peninsula. It's the second smallest and sixth least populous state, but the sixth most densely populated. Delaware's largest city is Wilmington. The state is divided into three counties, the lowest number of any state. From north to south, they are New Castle County, Kent County, and Sussex County. While the southern two counties have historically been predominantly agricultural, New Castle County is more industrialized. Before its coastline was explored by Europeans in the 16th century, Delaware was inhabited by several groups of Native Americans, including the Lenape in the north and Nanticoke in the south. It was initially colonized by Dutch traders at Zwaanendael, near the present town of Lewes, in 1631."
Florida,FL,Florida,"Florida ( (listen); Spanish for ""land of flowers"") is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (65,755 sq mi or 170,300 km2), the 3rd-most populous (21,312,211 inhabitants), and the 8th-most densely populated (384.3/sq mi or 148.4/km2) of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital. Florida's $1.0 trillion economy is the fourth largest in the United States. If it were a country, Florida would be the 16th largest economy in the world, and the 58th most populous as of 2018. In 2017, Florida's per capita personal income was $47,684, ranking 26th in the nation. The unemployment rate in September 2018 was 3.5% and ranked as the 18th in the United States."
Georgia,GA,Georgia_(U.S._state),"Georgia is a state in the Southeastern United States. It began as a British colony in 1733, the last and southernmost of the original Thirteen Colonies to be established. Named after King George II of Great Britain, the Province of Georgia covered the area from South Carolina south to Spanish Florida and west to French Louisiana at the Mississippi River. Georgia was the fourth state to ratify the United States Constitution, on January 2, 1788. In 1802–1804, western Georgia was split to the Mississippi Territory, which later split to form Alabama with part of former West Florida in 1819. Georgia declared its secession from the Union on January 19, 1861, and was one of the original seven Confederate states. It was the last state to be restored to the Union, on July 15, 1870. Georgia is the 24th largest and the 8th most populous of the 50 United States. From 2007 to 2008, 14 of Georgia's counties ranked among the nation's 100 fastest-growing, second only to Texas. Georgia is known as the Peach State and the Empire State of the South."
